1950,909000
1951,911000
1952,914000
1953,916000
1954,919000
1955,921000
1956,924000
1957,927000
1958,929000
1959,932000
1960,934000
1961,935000
1962,930000
1963,924000
1964,919000
1965,913000
1966,908000
1967,902000
1968,897000
1969,891000
1970,886000
1971,880000
1972,869000
1973,859000
1974,849000
1975,838000
1976,828000
1977,819000
1978,809000
1979,799000
1980,790000
1981,782000
1982,778000
1983,775000
1984,772000
1985,768000
1986,765000
1987,762000
1988,758000
1989,755000
1990,752000
1991,749000
1992,748000
1993,747000
1994,746000
1995,745000
1996,744000
1997,743000
1998,743000
1999,742000
2000,741000
2001,740000
2002,744000
2003,747000
2004,751000
2005,754000
2006,758000
2007,761000
2008,765000
2009,769000
2010,772000
2011,776000
2012,779000
2013,783000
2014,787000
2015,790000
2016,794000
2017,798000
2018,801000
2019,805000
2020,809000
2021,814000
2022,818000
2023,823000
2024,829000
